id,name,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01lz5VBfkMFDteSA9pKJuP,The Click Five,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
02seUFsFQP7TH4hLrTj77o,Nathaniel Rateliff & The Night Sweats,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4
04RtvnUz0XrUbUZzOA8ZoW,Sugarcult,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04gDigrS5kc9YWfZHwBETP,Maroon 5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
0543y7yrvny4KymoaneT4W,Peter Frampton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06HL4z0CvFAxyc27GXpf02,Taylor Swift,21,76,109,109,109,109,109,109,109,109,124,124,124,124,124,126
06nevPmNVfWUXyZkccahL8,Gregory Porter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
070kGpqtESdDsLb3gdMIyx,Easton Corbin,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
07Asx51VtMw5kbNXKrpZlq,BabyJake,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09yvLritEUxHrzx5TlFvbl,Margo Price,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0C0XlULifJtAgn6ZNCW2eu,The Killers,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0Chxmm4XMM87mJOHvyiUzL,Kevin Rudolf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0DxPHf2flBAcV2SnZPg3SV,Jake Scott,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0ECwFtbIWEVNwjlrfc6xoL,Eagles,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0EdvGhlC1FkGItLOWQzG4J,Sublime,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0EyuKHE1AeE9lWUF8mzKVp,Fuel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0FeWKiZSwBRdGzqeCdlH1a,Marcus King,1,1,1,1,1,1,1,1,1,1,1,6,6,6,7,7
